;ISBN 13;Book title;Author;Nº of pages;Publication date;Rating;Nº of ratings;Nº of reviews
0;9780439785969;Harry Potter and the Half-Blood Prince (Harry Potter  #6);J.K. Rowling;652;2006-09-16;4,57;2095690;27591
1;9780439358071;Harry Potter and the Order of the Phoenix (Harry Potter  #5);J.K. Rowling;870;2004-09-01;4,49;2153167;29221
2;9780439554893;Harry Potter and the Chamber of Secrets (Harry Potter  #2);J.K. Rowling;352;2003-11-01;4,42;6333;244
3;9780439655484;Harry Potter and the Prisoner of Azkaban (Harry Potter  #3);J.K. Rowling;435;2004-05-01;4,56;2339585;36325
4;9780439682589;Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5);J.K. Rowling;2690;2004-09-13;4,78;41428;164
6;9780439827607;Harry Potter Collection (Harry Potter  #1-6);J.K. Rowling;3342;2005-09-12;4,73;28242;808
7;9780517226957;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;815;2005-11-01;4,38;3628;254
8;9780345453747;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;815;2002-04-30;4,38;249558;4080
9;9781400052929;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1);Douglas Adams;215;2004-08-03;4,22;4930;460
10;9780739322208;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1);Douglas Adams;6;2005-03-23;4,22;1266;253
11;9780517149256;The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;815;1996-01-17;4,38;2877;195
12;9780767908184;A Short History of Nearly Everything;Bill Bryson;544;2004-09-14;4,21;248558;9396
13;9780767915069;Bill Bryson's African Diary;Bill Bryson;55;2002-12-03;3,44;7270;499
14;9780767910439;Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right;Bill Bryson;256;2004-09-14;3,87;2088;131
15;9780767903868;In a Sunburned Country;Bill Bryson;335;2001-05-15;4,07;72451;4245
16;9780767903820;I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away;Bill Bryson;304;2000-06-28;3,9;49240;2211
17;9780060920081;The Lost Continent: Travels in Small Town America;Bill Bryson;299;1990-08-28;3,83;45712;2257
18;9780380713806;Neither Here nor There: Travels in Europe;Bill Bryson;254;1993-03-28;3,86;48701;2238
19;9780380727506;Notes from a Small Island;Bill Bryson;324;1997-05-28;3,91;80609;3301
20;9780380715435;The Mother Tongue: English and How It Got That Way;Bill Bryson;270;1991-09-28;3,93;28489;2085
21;9780345538376;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;J.R.R. Tolkien;1728;2012-09-25;4,59;101233;1550
22;9780618517657;The Lord of the Rings (The Lord of the Rings  #1-3);J.R.R. Tolkien;1184;2004-10-21;4,5;1710;91
23;9780618346257;The Fellowship of the Ring (The Lord of the Rings  #1);J.R.R. Tolkien;398;2003-09-05;4,36;2128944;13670
24;9780618260584;The Lord of the Rings (The Lord of the Rings  #1-3);J.R.R. Tolkien;1216;2002-10-01;4,5;1618;140
25;9780618391004;The Lord of the Rings: Weapons and Warfare;Chris   Smith;218;2003-11-05;4,53;19822;46
26;9780618510825;The Lord of the Rings: Complete Visual Companion;Jude Fisher;224;2004-11-15;4,5;359;6
27;9780976694007;Agile Web Development with Rails: A Pragmatic Guide;Dave Thomas;558;2005-07-28;3,84;1430;59
28;9780689840920;Hatchet (Brian's Saga  #1);Gary Paulsen;208;2000-04-01;3,72;270244;12017
30;9780385326506;Guts: The True Stories behind Hatchet and the Brian Books;Gary Paulsen;144;2001-01-23;3,88;2067;334
31;9781575606248;Molly Hatchet - 5 of the Best;Molly Hatchet;56;2003-06-10;4,33;6;0
32;9781595580276;Hatchet Jobs: Writings on Contemporary Fiction;Dale Peck;228;2005-11-01;3,45;99;16
