Index;ISBN 13;Author ID;Nº of pages;Publication date;Rating;Nº of ratings;Nº of reviews
0;9,78044E+12;0;652;16/09/2006;4,57;2095690;27591
1;9,78044E+12;0;870;01/09/2004;4,49;2153167;29221
2;9,78044E+12;0;352;01/11/2003;4,42;6333;244
3;9,78044E+12;0;435;01/05/2004;4,56;2339585;36325
4;9,78044E+12;0;2690;13/09/2004;4,78;41428;164
5;9,78044E+12;0;3342;12/09/2005;4,73;28242;808
6;9,78052E+12;1;815;01/11/2005;4,38;3628;254
7;9,78035E+12;1;815;30/04/2002;4,38;249558;4080
8;9,7814E+12;1;215;03/08/2004;4,22;4930;460
9;9,78074E+12;1;6;23/03/2005;4,22;1266;253
10;9,78052E+12;1;815;17/01/1996;4,38;2877;195
11;9,78077E+12;2;544;14/09/2004;4,21;248558;9396
12;9,78077E+12;2;55;03/12/2002;3,44;7270;499
13;9,78077E+12;2;256;14/09/2004;3,87;2088;131
14;9,78077E+12;2;335;15/05/2001;4,07;72451;4245
15;9,78077E+12;2;304;28/06/2000;3,9;49240;2211
16;9,78006E+12;2;299;28/08/1990;3,83;45712;2257
17;9,78038E+12;2;254;28/03/1993;3,86;48701;2238
18;9,78038E+12;2;324;28/05/1997;3,91;80609;3301
19;9,78038E+12;2;270;28/09/1991;3,93;28489;2085
20;9,78035E+12;3;1728;25/09/2012;4,59;101233;1550
21;9,78062E+12;3;1184;21/10/2004;4,5;1710;91
22;9,78062E+12;3;398;05/09/2003;4,36;2128944;13670
23;9,78062E+12;3;1216;01/10/2002;4,5;1618;140
24;9,78062E+12;4;218;05/11/2003;4,53;19822;46
25;9,78062E+12;5;224;15/11/2004;4,5;359;6
26;9,78098E+12;6;558;28/07/2005;3,84;1430;59
27;9,78069E+12;7;208;01/04/2000;3,72;270244;12017
28;9,78039E+12;7;144;23/01/2001;3,88;2067;334
29;9,78158E+12;8;56;10/06/2003;4,33;6;0
30;9,7816E+12;9;228;01/11/2005;3,45;99;16
31;9,7816E+12;10;304;01/11/2005;3,76;167;4
32;9,78067E+12;11;256;17/08/2006;3,6;978;111
33;9,78014E+12;12;137;14/04/2003;4,06;4454;302
34;9,7806E+12;13;228;08/06/2004;4,17;1176;96
35;9,78159E+12;14;339;12/04/2005;3,55;301;43
36;9,78045E+12;15;369;28/08/1990;3,98;345;12
37;9,78006E+12;16;388;29/08/2006;3,83;29686;2626
38;9,78006E+12;16;14;15/06/2004;3,83;55;12
39;9,78006E+12;16;576;15/06/2004;3,83;22;3
40;9,78027E+12;17;334;15/05/2006;3,83;1456;82
41;9,78193E+12;18;352;14/12/2005;4,13;52;4
42;9,78037E+12;19;416;01/06/1982;4,42;562;37
43;9,78037E+12;19;248;16/05/2006;3,95;1630;203
44;9,78037E+12;19;128;01/04/1986;4,17;268;22
45;9,78037E+12;19;288;01/09/1990;4,24;3498;305
46;9,78037E+12;19;720;06/01/1999;4,34;3115;228
47;9,78037E+12;19;448;01/04/1991;4,22;5704;261
48;9,78037E+12;19;160;01/04/1994;3,92;698;52
49;9,78037E+12;19;288;01/04/1994;4,23;542;36
50;9,78037E+12;19;208;01/11/1987;4,23;1341;98
51;9,78082E+12;20;81;01/03/2002;3,75;1423;70
52;9,78068E+12;20;249;02/07/1991;3,84;2766;64
53;9,7816E+12;21;138;29/03/2006;3,94;31;1
54;9,78158E+12;22;128;14/03/2006;3,77;62;4
55;9,7808E+12;23;192;01/09/2003;4,46;860;53
56;9,78087E+12;21;108;28/01/1997;3,68;77;2
57;9,78075E+12;24;352;15/11/2002;3,99;153317;2257
58;9,78087E+12;21;192;15/11/2004;3,25;55;5
59;9,78185E+12;25;192;28/04/2003;4,46;34;6
60;9,78076E+12;26;832;16/10/2003;3,89;11797;659
61;9,78097E+12;27;123;10/05/2004;3,82;34;8
62;9,78158E+12;22;128;19/08/2004;3,78;78;4
63;9,78044E+12;28;423;15/06/1987;3,84;2785;166
64;9,78044E+12;28;436;01/07/1987;3,91;38778;568
65;9,78044E+12;28;331;15/07/1987;3,88;97494;2359
66;9,78077E+12;29;592;01/07/2004;4,01;784;21
67;9,7804E+12;28;480;16/04/1984;3,86;272;20
68;9,78077E+12;28;426;29/08/2006;3,88;4789;83
69;9,78044E+12;28;471;15/08/1987;3,86;45388;644
70;9,78062E+12;30;192;12/06/2002;4,59;26153;102
71;9,78035E+12;31;544;29/09/1996;4,35;69167;4551
72;9,78039E+12;31;291;13/09/2005;4,35;45;13
73;9,78079E+12;32;256;01/11/2004;4,28;16;1
74;9,78047E+12;33;205;19/05/2006;3,34;174;16
75;9,78033E+12;34;240;07/02/2000;3,67;10;0
76;9,78006E+12;35;336;03/05/2005;3,48;76;9
77;9,78047E+12;36;386;30/10/2006;3,5;111;9
78;9,78007E+12;37;260;24/01/2006;3,62;24;0
79;9,78076E+12;36;384;17/09/2004;3,55;55;4
80;9,78047E+12;38;260;06/06/2006;4,27;9;0
81;9,78076E+12;36;391;31/05/2004;3,39;22;1
82;9,78076E+12;36;864;25/04/2005;3,89;17;3
83;9,7806E+12;39;873;29/07/2006;3,84;166;4
84;9,78081E+12;40;240;03/05/2005;4,12;50;5
85;9,78081E+12;40;206;03/05/2005;4,08;13;2
86;9,7806E+12;41;514;01/01/2007;3,48;64;1
87;9,78014E+12;42;838;31/05/2004;4,05;16643;1851
88;9,78045E+12;42;960;05/11/2002;4,05;109420;5696
89;9,78014E+12;42;837;30/01/2003;4,05;2904;309
90;9,78082E+12;43;80;26/11/1965;3,85;16;3
91;9,78159E+12;42;803;01/07/2003;4,05;9564;726
92;9,78049E+12;42;752;23/11/2004;4,05;474;72
93;9,78159E+12;42;803;26/08/2004;4,05;303;48
94;9,78078E+12;44;360;28/01/2006;2,99;411;65
95;9,78052E+12;45;128;26/11/1987;4,19;1204;33
96;9,78014E+12;46;160;03/07/1990;3,71;3429;279
97;9,78068E+12;47;367;30/06/1998;3,95;2163;216
98;9,78157E+12;48;256;01/02/1996;3,89;613;31
99;9,78074E+12;49;320;27/09/2005;3,82;308;40
100;9,78093E+12;50;100;28/01/1995;4,2;10;0
101;9,78074E+12;51;224;20/12/2000;3,65;16;4
102;9,78021E+12;52;216;22/09/2003;3,4;10;0
103;9,78038E+12;53;360;01/10/1994;4,01;1035;23
104;9,78082E+12;54;250;01/05/2002;4;36;6
105;9,78044E+12;55;32;01/01/2002;3,6;15;0
106;9,78061E+12;54;205;01/06/1984;4;6;1
107;9,78075E+12;56;367;01/06/1994;4,12;376;17
108;9,78006E+12;57;352;03/01/2006;4,11;3086;237
109;9,78074E+12;58;320;01/11/2005;3,94;352;44
110;9,78077E+12;59;331;07/03/2006;3,6;9852;633
111;9,7814E+12;60;244;10/08/2004;3,9;821;78
112;9,7814E+12;60;215;08/03/2005;4,05;731;72
113;9,7814E+12;60;191;10/08/2004;3,94;2897;178
114;9,78068E+12;60;144;03/10/1990;3,89;98;11
115;9,78031E+12;61;738;30/08/2005;3,42;20888;1688
116;9,78081E+12;62;48;01/10/2001;3,91;66;19
117;9,78014E+12;63;287;03/10/1996;4,02;81;6
118;9,78081E+12;64;217;01/02/1964;4,22;981;52
119;9,7808E+12;64;154;13/01/1994;3,69;3381;141
120;9,7808E+12;64;318;06/01/1994;3,68;53206;2376
121;9,7808E+12;64;348;13/01/1994;3,78;14872;459
122;9,7808E+12;64;316;13/01/1994;4,1;3261;58
123;9,7808E+12;64;506;12/01/1994;3,98;7805;251
124;9,78081E+12;64;292;17/01/1970;3,83;2699;142
125;9,78014E+12;65;797;30/09/2003;3,78;61640;1951
126;9,78159E+12;65;635;16/01/2004;3,78;392;41
127;9,78157E+12;66;91;06/05/1999;3,75;778;44
128;9,78157E+12;66;192;01/08/1994;3,85;963;65
129;9,78039E+12;66;181;12/03/1986;3,66;2057;128
130;9,78185E+12;67;178;01/07/1999;3,68;203;8
131;9,78157E+12;68;464;01/04/1998;4,21;35;2
132;9,78014E+12;67;102;01/01/1998;4,19;328;16
133;9,78039E+12;67;216;21/02/1995;3,98;1308;82
134;9,78081E+12;67;132;03/03/2003;3,92;6432;517
135;9,78068E+12;67;100;14/06/2011;4,08;3015;217
136;9,78075E+12;69;311;15/09/2001;3,83;318753;6734
137;9,7814E+12;69;213;01/10/2004;3,83;420;42
138;9,78142E+12;69;245;01/06/2005;3,83;5967;276
139;9,78069E+12;69;64;01/07/2003;3,83;104;14
140;9,78052E+12;69;272;03/09/2002;3,83;56;4
141;9,78158E+12;70;232;31/01/2006;4,05;91;16
142;9,78093E+12;71;270;22/11/1996;4,61;88;4
143;9,78079E+12;72;448;01/01/1990;4,07;63;7
144;9,78039E+12;73;64;12/09/1955;4,04;2815;164
145;9,78082E+12;74;256;07/06/2005;3,6;95;13
146;9,78006E+12;75;147;15/02/2005;3,44;217;24
147;9,78843E+12;76;239;01/06/2002;4,02;4136;255
148;9,78035E+12;77;304;17/06/1997;4,01;17232;649
149;9,78044E+12;77;528;01/10/1991;3,92;251872;6241
150;9,78044E+12;77;434;01/06/1988;3,87;10293;193
151;9,78035E+12;77;439;12/10/1985;3,78;15970;438
