;Author;Author ID
0;J.K. Rowling;0
1;Douglas Adams;1
2;Bill Bryson;2
3;J.R.R. Tolkien;3
4;Chris   Smith;4
5;Jude Fisher;5
6;Dave Thomas;6
7;Gary Paulsen;7
8;Molly Hatchet;8
9;Dale Peck;9
10;Angela Knight;10
11;Delia Sherman;11
12;Patricia A. McKillip;12
13;Zilpha Keatley Snyder;13
14;Kate Horsley;14
15;Philippa Carr;15
16;Edward P. Jones;16
17;Satyajit Das;17
18;Mark Smylie;18
19;John McPhee;19
20;Wendy Wasserstein;20
21;Heidi Hayes Jacobs;21
22;Heidi Boyd;22
23;Heidi Baker;23
24;Johanna Spyri;24
25;Rolland Baker;25
26;Heidi Murkoff;26
27;Heidi Fleiss;27
28;Frank Herbert;28
29;Brian Herbert;29
30;Gary Russell;30
31;Bryce Courtenay;31
32;John C. Maxwell;32
33;Dave Lakhani;33
34;Louis E. Catron;34
35;Adam Ginsberg;35
36;Marsha Collier;36
37;Chris Malta;37
38;Julia Wilkinson;38
39;Lucas Carlson;39
40;Ruby Ann Boxcar;40
41;Rob Orsini;41
42;Leo Tolstoy;42
43;Marianne Sturman;43
44;Gloria Goldreich;44
45;Anthony Thorlby;45
46;Mulk Raj Anand;46
47;John Banville;47
48;Eliot Ness;48
49;Narendra Jadhav;49
50;V.T. Rajshekar;50
51;Vasant Moon;51
52;Barry R. Cournoyer;52
53;George Smoot;53
54;Madeleine L'Engle;54
55;Tara MacCarthy;55
56;Cynthia Harrod-Eagles;56
57;Charles Todd;57
58;Ewan McGregor;58
59;Daniel Abraham;59
60;Charles Willeford;60
61;Tom Wolfe;61
62;Edward Lear;62
63;Quentin Blake;63
64;Henry Miller;64
65;Henry James;65
66;Marguerite Duras;66
67;Kahlil Gibran;67
68;Jean Gibran;68
69;Robert Louis Stevenson;69
70;Deidre S. Laiken;70
71;Ralph Ginzburg;71
72;Gabriel García Márquez;72
73;Dr. Seuss;73
74;Debbie Raleigh;74
75;Kevin Henkes;75
76;Patrick Süskind;76
77;Robert A. Heinlein;77
78;Nick  Webb;78
79;Terry Jones;79
80;Susan Nanus;80
81;Harry G. Frankfurt;81
82;Nick Flynn;82
83;Garry Wills;83
84;Abraham Lincoln;84
85;Don DeLillo;85
86;Thomas Pynchon;86
87;Richard Fariña;87
88;Joan Didion;88
89;Paul Auster;89
90;Peter Moon;90
91;Jared Diamond;91
92;Stephen Leeb;92
93;Joseph A. Tainter;93
94;Robert D. Putnam;94
95;Philip K. Howard;95
96;Joy Harjo;96
97;Nikola Tesla;97
98;Marc J.  Seifer;98
99;Carol Dommermuth-Costa;99
100;Julie Elizabeth Leto;100
101;Maureen Kelly;101
102;William Golding;102
103;Victor Davis Hanson;103
104;Ephraim Sevela;104
105;Alice Sebold;105
106;Sharyn McCrumb;106
107;Dave Shea;107
108;Elizabeth Castro;108
109;Michael Ochs;109
110;Chuck Klosterman;110
111;Jane Feather;111
112;Robert M. Pirsig;112
113;Kevin O'Malley;113
114;Ronald L. DiSanto;114
115;John Harold Haynes;115
116;Catharine M. Fishel;116
117;Ayn Rand;117
118;J.J. Isler;118
119;Colin  Wells;119
