;ISBN 13;Book title
0;9780439785969;Harry Potter and the Half-Blood Prince (Harry Potter  #6)
1;9780439358071;Harry Potter and the Order of the Phoenix (Harry Potter  #5)
2;9780439554893;Harry Potter and the Chamber of Secrets (Harry Potter  #2)
3;9780439655484;Harry Potter and the Prisoner of Azkaban (Harry Potter  #3)
4;9780439682589;Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5)
6;9780439827607;Harry Potter Collection (Harry Potter  #1-6)
7;9780517226957;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5)
8;9780345453747;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5)
9;9781400052929;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)
10;9780739322208;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)
11;9780517149256;The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5)
12;9780767908184;A Short History of Nearly Everything
13;9780767915069;Bill Bryson's African Diary
14;9780767910439;Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right
15;9780767903868;In a Sunburned Country
16;9780767903820;I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away
17;9780060920081;The Lost Continent: Travels in Small Town America
18;9780380713806;Neither Here nor There: Travels in Europe
19;9780380727506;Notes from a Small Island
20;9780380715435;The Mother Tongue: English and How It Got That Way
21;9780345538376;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
22;9780618517657;The Lord of the Rings (The Lord of the Rings  #1-3)
23;9780618346257;The Fellowship of the Ring (The Lord of the Rings  #1)
24;9780618260584;The Lord of the Rings (The Lord of the Rings  #1-3)
25;9780618391004;The Lord of the Rings: Weapons and Warfare
26;9780618510825;The Lord of the Rings: Complete Visual Companion
27;9780976694007;Agile Web Development with Rails: A Pragmatic Guide
28;9780689840920;Hatchet (Brian's Saga  #1)
30;9780385326506;Guts: The True Stories behind Hatchet and the Brian Books
31;9781575606248;Molly Hatchet - 5 of the Best
32;9781595580276;Hatchet Jobs: Writings on Contemporary Fiction
33;9781595962805;A Changeling for All Seasons (Changeling Seasons #1)
34;9780670059676;Changeling (Changeling  #1)
35;9780141312620;The Changeling Sea
36;9780595321803;The Changeling
37;9781590301944;The Changeling
38;9780449146972;The Changeling (Daughters of England  #15)
39;9780061159176;The Known World
40;9780060762735;The Known World
41;9780060749910;The Known World
42;9780273704744;Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives
43;9781932386103;Artesia: Adventures in the Known World
44;9780374517199;The John McPhee Reader (John McPhee Reader  #1)
45;9780374280390;Uncommon Carriers
46;9780374519742;Heirs of General Practice
47;9780374522599;The Control of Nature
48;9780374518738;Annals of the Former World
49;9780374522872;Coming Into the Country
50;9780374519322;La Place de la Concorde Suisse
51;9780374516000;Giving Good Weight
52;9780374520656;Rising from the Plains
53;9780822205104;The Heidi Chronicles
54;9780679734994;The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic
55;9781596670235;Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening
56;9781581807745;Simply Beautiful Beaded Jewelry
